attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	categorical				
SiteCode	Unique alphanumeric site code	categorical				
SiteName	Descriptive name of the site	character				
VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	categorical				
SampleFrame	Frequency of sampling at this site	categorical				
Panel	Grouping of sites that are usually sampled in the same year	categorical				
WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	categorical				
WaterTemperature_C	Temperature measurement in degrees C	numeric	celsius			
DataQualityFlag	"Data Quality Flag: No Flag, Information, Warning, Critical"	categorical				
DataQualityFlagNote	Notes about data quality flag	character				
TemperatureInstrument	Water quality instrument used for measurement	categorical				
VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	categorical				
DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	categorical				
MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	categorical				
